Job Posting,Job Requisition,Posted Internally Only,Job Requisition ID,Job Requisition Status,Supervisory Organization,Group,Account Group,IMT,Team,Job Profile,Job Requisition Type,Management Level,Remote Delivery,Primary Location,Primary Location State/Province,Primary Location Country,Locations,Required Clearance,Clearance Agency,Time Type,Recruiting Start Date,Job Type,Job Family,Job Family Group,Job Description,Job Profile Skills,Contract
"Space Vehicle Systems Engineer, Senior","R0217924 Space Vehicle Systems Engineer, Senior (Open)",,R0217924,Open,Supervisory Organization (Genevieve Luna (599616)),National Security Group,Space & MI Acct Group,Space & MI IMT,TE&S Specialized,"Systems Engineer, Associate",Contingent Funding,Associate,Hybrid Delivery,"El Segundo, CA",California,United States of America,"El Segundo, CA",Secret,DOD,Full time,4/3/25,Regular,Systems Engineer,Engineering & Science Professional,"The Opportunity: 
Are you looking for an opportunity to combine your technical skills with big picture thinking to make an impact in modernizing position, navigation and timing systems? You understand your customer’s environment and how to develop the right systems for their mission. Your ability to translate real-world needs into technical specifications makes you an integral part of delivering a customer-focused engineering solution.

As a systems engineer on our team, you’ll have the chance to support the design and implementation of space-based systems to deliver resilient, affordable, and sustainable space capabilities. Your technical expertise will be vital as you evaluate and modernize Global Positioning Systems (GPS). You’ll develop your skills in developing and acquiring space systems while gaining experience with delivering sustained, reliable GPS capabilities to America’s warfighters, our allies, and civil users. Grow your skills by merging space vehicle development and acquisition to develop client solutions, assess technical designs, and test programs. Join our team and help turn requirements into accomplishments that drive change.

Join us. The world can't wait.

You Have:
10+ years of experience with space vehicle systems engineering, planning, integration, and testing
10+ years of experience with systems engineering, planning, development, integration, and testing of space vehicle subsystems and their components, including structures, mechanisms, electrical power, attitude control, thermal, propulsion, communications, or command
10+ years of experience with systems engineering, planning, development, integration, and testing of navigation payloads, communications antennas, transmitters, or receivers of a payload
5+ years of experience with space vehicle production, assembly, integration, and test events
5+ years of experience with space system and DoD program reviews, including SRR, SDR, SFR, PDR, CDR, MRR, TRR, FCA, and PCA
Ability to be highly motivated, display a dynamic work ethic, and contribute to the DoD mission
Ability to communicate effectively and establish collaborative relationships with government clients and contractor teammates
Secret clearance
Bachelor’s degree in Engineering, Mathematics, Physics, or CS

Nice If You Have: 
Experience with launch call-up and space vehicle shipping preparations
Experience with space vehicle level tests, including system performance tests, TVAC, acoustics, and EMI or EMC testing
Experience designing, building, and testing of communications antennas, transmitters, or receivers of a payload, analyzing subsystem and program-level integrated master schedules (IMS) using Microsoft Project, and analyzing contractor earned value management (EVM) data
Experience with computer tools, including Confluence or Jira
Knowledge of the DoD acquisition lifecycle and milestones, DoD systems engineering, testing, and production policies and practices, and GPS space, ground, or user segment
Ability to perform multiple systems engineering and program management functions in support of design reviews and requirements verification
Possession of excellent interpersonal, verbal, and written communication skills
Top Secret clearance
Master’s degree in Engineering, Mathematics, Physics, or CS
Professional Certification such as PMP, ESEP/CSEP, or OCSMP Certification

Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Client Service Excellence

Communication

Concept of Operations Development

Configuration Management (CM)

Decision Management

Group Problem Solving

Information Management

Integration Testing

Life Cycle Cost Analysis

Organizational Savvy

Project Cycle Management (PCM)

Requirements Analysis

Risk Management

Stakeholder Management

Systems Architecture Design

Use Case Modeling

Value Engineering (VE)

Verification and Validation (V&V)",SpaceForce_GPS IIIF_Space Vehicle Program
Staff Technologist,R0218012 Staff Technologist (Open),,R0218012,Open,Supervisory Organization (Anthony Demasi (598996)),Global Defense Group,JCC Acct Group,Indo-Pacific IMT,TE&S Specialized,"Virtual Reality/Augmented Reality Engineer, Associate",Contingent Funding,Associate,Client Site/Booz Allen Office Delivery,"Pyeongtaek-si, Gyeonggi-do",Gyeonggi-do,"Korea, Republic of","Pyeongtaek-si, Gyeonggi-do",Secret,DOD,Full time,4/3/25,Long Term Assignee,Virtual Reality/Augmented Reality Engineer,Technology,"The Opportunity:We are seeking a talented and mission-driven staff technologist to deliver a cutting-edge training application for the U.S. Army. This role combines an understanding of creative game development with practical, scenario-based training needs, empowering soldiers with innovative simulation tools. You will work closely with cross-functional teams, including designers, military training experts, and software engineers, to create interactive applications that simulate real-world scenarios, enhance critical thinking, and strengthen decision-making skills in high-stakes environments.
What You’ll Work On:

Build and code engaging training applications using game development software such as Unity, Unreal Engine, or similar platforms.

Create immersive, realistic scenarios that replicate military operations environments for military training, rehearsals of concept, assessments, and plans development.

Work with military training experts to ensure that applications align with Army objectives and offer effective, hands-on end-user experiences.

Develop unique interactive features that can handle real-time decision-making, response adaptability, and feedback mechanisms for a comprehensive end-user experience.

Conduct usability testing with end-users, analyze feedback, and iterate to enhance the experiential value of applications.

Ensure that applications run efficiently on a variety of hardware setups used by the Army.


Join us. The world can’t wait.

You Have:

Experience in Unity or Unreal Engine

Experience with performance profiling and optimization tools

Knowledge of 3D modeling, animation, and physics in game design

Ability to adapt to and understand military training requirements

Secret clearance

Bachelor’s degree in Game Design, Computer Science, or Software Engineering and 3+ years of experience with Army simulation or training applications or 5+ years of experience with Army simulation or training applications in lieu of degree


Nice If You Have:

Experience in C++ or C#

Experience with VR or AR technology

Possession of excellent problem-solving skills, attention to detail, and a collaborative team spirit


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Augmented Reality (AR)

C++ Programming Language

Computer Graphics

Computer Programming

Computer Vision

Core Application Systems

Digital Products

Group Problem Solving

Implementation

Object-Oriented Development

Programming Languages

Software Development

Telecommunications

Testing

User-Centered Design (UCC)

User Experience (UX) Design

Virtual Reality",VORTX_SSMARTT
Cyber Program Manager,R0218064 Cyber Program Manager (Open),,R0218064,Open,Supervisory Organization (Brittany Tsiopanas | Brittany Tsiopanas (527203)),Civil Group,Domestic Resil Acct Grp,Domestic Resilience IMT,TE&S Specialized,"IT Program Manager, Lead Associate",Contingent Client or Prime Approval,Lead Associate,Client Site/Booz Allen Office Delivery,"Huntsville, AL",Alabama,United States of America,"Huntsville, AL",Top Secret,FBI,Full time,4/4/25,Regular,IT Program Manager,Technology,"Key Role:
Design, implement, and maintain strategic, multi-disciplinary IT programs in support of corporate strategy. Apply leading-edge principles, theories, and concepts and contribute to the development of new principles and concepts. Work on unusually complex problems and provide highly innovative solutions. Operate with substantial latitude for unreviewed action or decision and mentor or supervise employees in both organization and technical competencies.

Basic Qualifications:

8+ years of experience leading cyber or IT projects

Knowledge of managing staffing, project plans, and client relationships

Experience leading and mentoring staff

Experience with Atlassian Software Products, such as Jira, Confluence, or Service desk

Top Secret clearance

Bachelor's degree

PMP Certification


Additional Qualifications:

Experience with a 24x7 mission space

Experience with SOC

AWS Certification

CISSP Certification

Security+ Certification


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Top Secret clearance is required.","Capability Maturity Model (CMM)

Change Controls

Emotional Intelligence

Implementation

Information Technology Project Management

IT Project Planning

IT Quality Management

It Reporting

Long Term Planning

Organizing

Project Controls

Requirements Analysis

Software Development Life Cycle (SDLC)

Strategic Thinking

Team Management

Waterfall Model

Workflow Analysis",FBI_ESOC
"Cyber Threat Intelligence Analyst, Mid","R0218063 Cyber Threat Intelligence Analyst, Mid (Open)",,R0218063,Open,Supervisory Organization (Dmitry Shell (550527)),National Security Group,National Cyber Acct Group,National Cyber IMT,TE&S Specialized,"Cyber Threat Intelligence Analyst, Senior Consultant",Immediately Billable,Senior Consultant,Hybrid Delivery,"Arlington, VA",Virginia,United States of America,"Arlington, VA",TS/SCI,DHS,Full time,4/4/25,Regular,Cyber Threat Intelligence Analyst,Consulting & Mission Operations,"The Opportunity: As a cyber threat intel analyst, you know the key to detecting and deterring malicious activity is quality risk-based intel that maps to a tactical behavior. At Booz Allen, you can apply your expertise to investigate the most pressing cyber threats impacting U.S. critical infrastructure. This is your chance to take on the adversary’s perspective, identify their motivations, and recommend ways to harden systems, reduce their attack surface, and thwart malicious actors.     As a Cyber Threat Intelligence Analyst on our team, you’ll oversee the collection, documentation, assessment, and analysis of raw cyber threat information using tools and technologies like MISP, ThreatQ, FireEye, LookingGlass, MITRE Attack Framework, Linux, UNIX, or tcpdump to enrich intelligence. You’ll conduct strategic assessments on systems and networks and provide tactical analyses and influential recommendations for network operation. You’ll be the key to discovering and correlating timely threat intel and deciphering what represents a real risk, and you’ll play a lead role in incident analysis, adversarial research, and finished intelligence products to inform policy makers, cyber operators, and mission area leadership. Cyber threats are evolving. Booz Allen is committed to creating an environment where you not only keep pace with the industry but propel it forward. With access to academic programs, certifications, and opportunities to use expert tradecraft, we’ll continuously invest in you so you can create the career you want as you grow.  Join us. The world can’t wait.  

You Have:  

Experience with intelligence analysis principles or cyber threat intelligence principles

Experience in a consulting environment, communicating technical subjects to clients

Knowledge of information security and IT threats, attacks, and vulnerabilities

Knowledge of cybersecurity concepts

Ability to work independently with minimal supervision

TS/SCI clearance

HS diploma or GED and 12+ years of experience with cybersecurity, Bachelor’s degree and 8+ years of experience with cybersecurity, or Master’s degree and 6+ years of experience with cybersecurity


Nice If You Have:  

Experience with computer network protocols and operations

Experience with the IC and its products, procedures, and computer networks

Experience with East Asia actors

Knowledge of Advanced Persistent Threats

Knowledge of analytic threat models, including ATT&CK, Pyramid of Pain, and Diamond Model

Ability to perform queries on indicators and characteristics, including Message-Digest Algorithm 5, Secure Hash Algorithm 1, IP Addresses, file size, file name, and file paths

Ability to conduct classified and unclassified research using research tools

Possession of excellent verbal and written communication skills, problem-solving skills, and analytical skills

Net+, Security+, CEH, CCNA, or SANS Certification


Clearance:  Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.","Accuracy

Analytical Thinking

Communication

Core Application Systems

Cybersecurity Risk Management

Detail-Oriented

Information Capture

Information Security Operations

Information Security Policies

Information Technology Security

Key Performance Indicators (KPI)

Predictive Analytics

Results-Oriented

Technical Excellence

Technical Writing

Threat Management",CISA IOSS
"Mobile Device Engineer, Mid","R0218112 Mobile Device Engineer, Mid (Open)",,R0218112,Open,Supervisory Organization (Genevieve Graves (533611)),Global Defense Group,Defense Technology Group,DEFTECH Serv & Soln,TE&S Core,"Infrastructure Specialist, Senior Consultant",Immediately Billable,Senior Consultant,Hybrid Delivery,"Fort Meade, MD",Maryland,United States of America,"Fort Meade, MD",Secret,DOD,Full time,4/4/25,Regular,Infrastructure Specialist,Technology,"Key Role:
Support mobile device and operating system Tier III functions within a classified environment. Perform security and functional tests on secure mobile smartphones and tablets using sound testing principles and a variety of custom and this party tools. Configure devices and operating systems for use on unclassified and classified systems, including issuance and installation of X.509 Certificates and provisioning devices to an enterprise mobile management system. Lead the creation test plans and test reports with the ability to independently present findings to government clients. Harden secure mobile devices for high-profile DoD senior leadership, as required.

Basic Qualifications:

5+ years of experience working in a DoD environment

Experience with mobile devices, mobile device operating systems, and Mobile Device Management (MDM) device controls

Experience troubleshooting network outages and other common infrastructure issues

Experience with standard Microsoft Office tools and using Microsoft Visio or Microsoft PowerPoint to develop DoD Architecture Framework (DoDAF) diagrams

Ability to harden mobile devices against DoD guidance, including DoD STIGs

Ability to write and execute client-ready test plans and test case scenarios and write and present client-ready test reports

Secret clearance

Bachelor's degree

Ability to obtain Security+ CE Certification within 6 months of hire date


Additional Qualifications:

Experience with PKI concept and applications, including certificate management

Experience with the latest Mobile Operating System STIGs released by the DoD

Experience with Windows and Linux server infrastructure

Ability to present to senior-level clients

Possession of excellent verbal and written communication skills

Top Secret clearance

Completion of Registration Authority (RA) training on DoD Public Key Infrastructure


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Accuracy

Change Management

Cloud Technology

Communication

Detail-Oriented

Group Problem Solving

Incident Handling

IT Customer Support

Networking Technologies

Operating Systems (OS)

Problem Management

Security Principles

Service Request Management

Teamwork

Technology Education

Troubleshooting

Virtualization",MES-C/DMCC
Signals Analyst,R0218055 Signals Analyst (Open),,R0218055,Open,Supervisory Organization (Justin Johnson (618692)),National Security Group,Space & MI Acct Group,AUS SPG IMT,TE&S Specialized,"Technical Signals Engineer, Associate",Contingent Funding,Associate,Client Site/Booz Allen Office Delivery,Australia,Northern Territory,Australia,Australia,TS/SCI w/CIP,UGC,Full time,4/4/25,Long Term Assignee,Technical Signals Engineer,Technology,"The Opportunity:
Critical decisions are made every day in our government. With all the information available today, it takes a skilled analyst to know how to find and interpret the best data to give their clients the right answers.  As a signals intelligence analyst, you will be responsible for examining information and data to understand adversary capabilities. You will use advanced and unique signal processing tools and techniques to collect, interpret, and analyze data, providing critical and timely insights into potential threats and strategic developments.
You will conduct thorough analyses of signal data to identify anomalies, and convey findings to stakeholders, and recommend follow-on action. You will work closely with an interdisciplinary team of intelligence professionals and subject matter experts to share information and derive new conclusion from challenging data sources. You will help to develop, test, and refine new solutions for complex signals analysis and acquisition problems. Using your comprehensive understanding of various collection platforms, you’ll explore new data sources, develop effective queries, and combine information from disparate sources. You’ll validate information and develop tradecraft as you build assessments. As an authority on your topic, your client will look to you for time-critical recommendations, often under pressure.

This is a chance to grow your expertise, develop new skills, and share your insights with other technical specialists. You can interact with collection managers, collection operators, and analysts on new analytic methods, technologies, and collection strategies, and collaborate with national and tactical collection and operations elements to advance target development efforts, recommend collection strategies, and support strategic and operational requirements.
We focus on growing as a team to deliver the best support to our customers, so you’ll have resources for mentoring and learning new skills and tools. Join us as we provide the right information at the right time to support the critical needs of the intelligence community (IC).

Join us. The world can’t wait.

You Have:
8+ years of experience with COMINT, PROFORMA, or Foreign Instrumentation Signals Intelligence (FISINT) collection and signals analysis
Ability to work across disparate teams to drive insights at the tactical and strategic level
Ability to perform, collaborate, and build solid relationships in a large, operational working environment
Ability to support 24/7 operations as needed by staffing shortages or client direction
Ability to report technical characteristics of signals and maintain knowledge bases
Ability to obtain timely medical and psychological clearance
TS/SCI clearance with a polygraph
HS diploma or GED

Nice If You Have:
Experience using tasking, collection, exploitation, analysis, or processing tools
Experience working in a joint environment
Experience testing and evaluating developmental tools
Experience with local site personnel, processes, and procedures
Knowledge of SIGINT requirements and intelligence oversight policies
Knowledge of the data and tools used in multiple intelligence disciplines
Ability to evaluate system inaccuracies and identify improvements
Bachelor’s degree in EE or AE preferred
Graduate of a Military Intelligence School, such as 451 or 452, or a relevant national agency equivalent training

Clearance:Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance with polygraph is required.","Acoustic Signal Processing

Array Signal Processing

C++ Programming Language

Channel Equalizers

Communications Intelligence

Data Acquisition (DAQ)

Demodulation

Digital Signal Processing (DSP)

Docker (Software)

Electronic Intelligence (ELINT)

Foreign Instrumentation Signals Intel (FISINT) Analysis

Forward Error Correction

Link Budget Analysis

Link Layer Protocols

Linux

Measurement and Signature Intelligence (MASINT)

Optical Signal Processing

Python (Programming Language)

Radio Frequency Engineering

RedHawk

Remote Sensing

Signal Detection Theory (SDT)

Signals Intelligence (SIGINT)

Statistics

Stochastic Methods

Synthetic Aperture Radar (SAR)

X-Midas",USGC_Sandcastles
Biophysics and Machine Learning Specialist,R0218153 Biophysics and Machine Learning Specialist (Open),,R0218153,Open,Supervisory Organization (Jacob Goodwin (609174)),Global Defense Group,Defense Technology Group,DARPA Advisory Services,TE&S Specialized,"Advanced Biologist, Senior Consultant",Contingent Client or Prime Approval,Senior Consultant,Hybrid Delivery,"Arlington, VA",Virginia,United States of America,"Arlington, VA",Secret,DOD,Full time,4/5/25,Regular,Advanced Biologist,Engineering & Science Professional,"Key Role:
Assist in programs advancing the intersection of biology and artificial intelligence to support research programs for the Defense Advanced Research Projects Agency. Draw on deep technical knowledge and subject matter expertise to advise clients in areas such as whole cell modeling, biological simulations, molecular dynamics, biomedical device design, machine learning or bioinformatics, and physical virology. Utilize strong technical writing skills and the ability to communicate complex scientific ideas to broad audiences in the development and management high-risk, high-reward projects that seek revolutionary change beyond the state-of-the-art. Serve as a strategic technical consultant for an advanced government-funded research and development agency, building and managing programs that help revolutionize the world. Work with world-class scientists and engineers for a DoD client to impact national security investments through the development of cutting-edge technologies and leveraging technical expertise to provide strategic assessments of new technologies in support to senior DoD decision makers. Maintain responsibility for producing and presenting findings and recommendations to a team of colleagues and clients on the feasibility and potential impact of future research programs, assisting with the management of current programs, and facilitating the transition of program deliverables to DoD stakeholders  
Basic Qualifications:

5+ years of experience with research in Biomedical Engineering, Biophysics, Machine learning, bioinformatics, or systems biology

Experience with authoring technical papers, reports, or program plans for technical and non-technical audiences

Ability to explain and present complex scientific concepts to a broad audience

Ability to obtain a Secret clearance

Doctorate degree

Additional Qualifications:

2+ years of experience with postdoctoral academic or industrial research

Experience with the development and use of AI algorithms and implementation and instantiation of AI architectures on hardware devices

Experience in computational simulations of biological phenomenon 

Experience with technical project or program management

Ability to display multiple first-author contributions to peer-reviewed papers or patents

Possession of excellent scientific writing skills

Possession of excellent verbal and written communication skills

Secret clearance 

Doctorate degree in Biomedical Engineering, Biophysics, Artificial Intelligence, or related field

Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information.","Academic Research

Biochemistry

Bioinformatics

Biological Engineering

Biomaterials

Biomedical Sciences

Cellular Microbiology

Dissertations

Epidemiology

Epigenetic

Evidence Evaluation

Genomics

Graduate Research

Leadership

Literature Reviews

Meta-Analysis

Peer-Reviewed Publications

Proteomics

Qualitative Analysis

Quantitative Analysis

Scientific Communications

Scientific Project Management

Scientific Writing

Strategic Evaluation

Technical Program Management

Technical Reviews

Toxicology

Waterfall Model",DARPA BTO
"Business Financial Analyst, Senior","R0218205 Business Financial Analyst, Senior (Open)",,R0218205,Open,Supervisory Organization (Mary Barham | Marybeth Barham (555823)),Global Defense Group,Defense Technology Group,DARPA Advisory Services,M&I Core,"Program/Project Management Specialist, Associate",Contingent Client or Prime Approval,Associate,Client Site/Booz Allen Office Delivery,"Arlington, VA",Virginia,United States of America,"Arlington, VA",Top Secret,DOD,Full time,4/7/25,Regular,Program/Project Management Specialist,Consulting & Mission Operations,"The Opportunity: 
Are you searching for a position where you can use your project management and financial analysis skills to develop a project from concept to completion? A program requires a significant investment of limited resources. With that level of complexity, you need to keep the projects on a productive path. That’s why we need you, a program management specialist who can help ensure success through careful analysis and effective communication.

On our team, you’ll implement and maintain organizational programs in support of the Defense Advanced Research Projects Agency (DARPA). You’ll work with program leadership to review funding documents and provide business financial management and programmatic support, while maintaining responsibility for analytical, technical, and administrative duties in one or more phases of the budgetary process. You’ll work in a fast-paced, multi-discipline team made up of technical subject matter experts, program and financial analysts, contract administrators, government partners, and government project managers supporting the advancement of the current state of the art in a wide range of technology areas.

The real power of project management comes from communication to ensure the program achieves its goals and meets our quality standards. At Booz Allen, we recognize that we must continuously grow as a team to bring the best support to our clients, so here you’ll have all the resources to succeed. This is a chance to directly impact a meaningful mission while growing your skills in consulting, program strategy, and financial management.

Work with us and help make sure our DoD client accomplishes its program goals as we advance cutting-edge technologies in support of our nation’s warfighters.

Join us. The world can’t wait.

You Have:

4+ years of experience with budget and financial analysis

1+ years of experience with program and project management

Experience managing schedules and program risks and supporting budgets in a fast-paced environment

Experience with schedule creation and tracking of financial commitments, obligations, and expenditures

Experience with solicitations and contracting actions

Experience generating Military Interdepartmental Purchase Request (MIPR) and Purchase Request (PR) documents

Ability to be flexible, adaptable, and team-orientated

Top Secret clearance

Bachelor's degree


Nice If You Have:

2+ years of experience managing defense programs

1+ years of experience in a DoD environment

Experience providing analysis and support to defense research and development programs

Experience working with senior-level government personnel

Experience working with the DAI financial system

Bachelor's degree in Finance, Accounting, or Economics


Clearance:
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Top Secret clearance is required.","Business Analytics

Business Cases

Business Performance Management

Change Management

Data Compilation

Data Reporting

Deliverables Management

Earned Value Management (EVM)

Group Problem Solving

Long Term Planning

Program Management

Project Delivery

Project Planning

Quality Management

Reviewing Contracts

Risk Management

Tactical Planning

Waterfall Model","DARPA STO3 Technical (Optics, Maritime, and PNT) Task Order"
Counterproliferation All-Source Intelligence Analyst,R0218198 Counterproliferation All-Source Intelligence Analyst (Open),Yes,R0218198,Open,Supervisory Organization (Julia Ciesluk | Julie Ciesluk (559787)),National Security Group,Space & MI Acct Group,Space & MI IMT,M&I Core,"Intelligence Professional, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Norfolk, VA",Virginia,United States of America,"Norfolk, VA",TS/SCI w/CIP,DIA,Full time,4/7/25,Regular,Intelligence Professional,Consulting & Mission Operations,"The Opportunity:
With all the information available today, it takes a skilled intelligence analyst to know how to find and interpret the best data to give their clients the right answers. With the critical decisions made in our government every day, we need an intel analyst like you to do just that. As a counterproliferation analyst, you use your specialized experience and attention to detail to give your client the actionable intelligence and context they need. If you have strong analytical skills and a problem-solving mindset, we have an opportunity to use those skills.

As a Counterproliferation All-Source Intelligence Analyst on our team, you will design, develop, and execute solutions in support of intelligence organizations, missions, or processes. You’ll apply advanced consulting skills or extensive technical expertise, including full industry knowledge. You’ll develop innovative solutions to complex problems, work without considerable direction, and mentor and supervise team members.

Join us. The world can’t wait.

You Have:

8+ years of experience with intelligence analysis, U.S. government all-source analytic production, or specialized intelligence analysis training

Experience authoring products utilizing ICD 203 and ICD 206 tradecraft standards

Ability to work in a fast-paced, collaborative environment

Ability to develop high-quality deliverables tailored to senior policymakers or defense stakeholders, including complex written products, ad hoc reports, and formal or informal briefings

Active TS/SCI clearance; willingness to take a polygraph exam

HS diploma or GED and 12+ years of experience with analysis, or Bachelor’s degree and 8+ years of experience with analysis


Nice If You Have:

Experience with all-source intelligence analysis and production for military activities and operations such as delivery systems, counterproliferation, and counterterrorism

Experience working at a Combatant Command or in a forward-deployed environment

Experience working with special operations forces

Experience in task management or mission management

Knowledge of the intelligence cycle and intelligence planning


Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; TS/SCI clearance is required.","Counterintelligence

Counterproliferation

Counter-Terrorism

Critical Thinking

Cyber Threat Intelligence

Geospatial Intelligence

Human Intelligence (HUMINT)

Imagery Intelligence

Intelligence Analysis

Intelligence Community

Intelligence Operations

International Relations (IR)

Open Source Intelligence

Oral Communications

Qualitative Analysis

Quantitative Analysis

Researching

Signals Intelligence (SIGINT)

Written Communication",WAEDS
F-35 Contract Manager,R0218189 F-35 Contract Manager (Open),,R0218189,Open,Supervisory Organization (Michael McIntire | Mike McIntire (626775)),Global Defense Group,Air Force Acct Group,Air Force IMT,M&I Core,"Product Support Analyst, Associate",Immediately Billable,Associate,Client Site/Booz Allen Office Delivery,"Dayton, OH",Ohio,United States of America,"Dayton, OH",Secret,DOD,Full time,4/7/25,Regular,Product Support Analyst,Engineering & Science Professional,"The Opportunity:
As a contract manager, you know that effective sustainment and operational readiness depend on clear communication, streamlined processes, and proactive decision-making. In this role, you’ll facilitate coordination and integration among leadership and key stakeholders, including industry partners, to optimize performance and cost, oversee product support provider activities, manage risks, support weapon system prime contract execution, and ensure compliance with governance and property management standards. That’s why we need you, a contract manager who can help ensure success through careful analysis and effective communication. 
 
On our team, you’ll support the initiatives of Executive Leadership in the F-35 Joint Program Office. You’ll review, analyze, evaluate, and improve the execution of the weapon system prime contracts and potential sustainment contracts with component manufacturers, to identify opportunities for cost savings. You’ll also serve as prime interface to coordinate with the Product Support Manager action officers to manage, update, and deliver weapon system sustainment plans, policies, operating instructions, and business rules. 
 
You Have:

Experience working with Federal Government services contracts

Experience in project or program management, including use of scheduling tools, earned value management, and budgets or finance

Experience coordinating, reviewing, and generating high-quality documentation, briefings, and strategic communications

Experience working with Microsoft Office Suite

Knowledge of performance work statements, contract requirements, and contractor performance assessments

Ability to clearly communicate to contract stakeholders and to integrate stakeholder inputs into decision-quality summary documents

Ability to travel up to 10% of the time

Secret clearance

HS diploma or GED and 8+ years of experience in contract management, business operations, or program management, or Bachelor’s degree with 3+ years of experience in contract management, business operations, or program management

 
Nice If You Have:

Experience with F-35

Experience with DoD Accountable Property Systems of Record and associated inventory activities

Experience in a DoD weapon system program office

Experience with analyzing Earned Value Management (EVM) data

Defense Acquisition University (DAU) certification

 
Clearance: 
Applicants selected will be subject to a security investigation and may need to meet eligibility requirements for access to classified information; Secret clearance is required.","Auditing

Contract Administration

Contract Management

Cost-Benefit Analysis (CBA)

Critical Thinking

Data Compilation

Data Reporting

Decision Making

Finance and Accounting

Hiring Management

Internal Controls

Long Term Planning

Operational Functions

Performance Management (PM)

Process Management

Procurement Operations

Project Management

Quality Management

Recruiting

Resource Coordination

Reviewing Contracts

Sourcing and Procurement

Supplier Management

Tactical Planning

Talent Acquisition",Air Force_F-35 Joint Program Office_F-35 Logisitics and Sustainment
IT Audit Specialist,R0218243 IT Audit Specialist (Open),,R0218243,Open,Supervisory Organization (Michael Tsyvine (524863)),Corporate Core,Enterprise Tech Svcs&Slns,Business Systems IMT,Business Systems,"Infrastructure Configuration Specialist, Lead Associate",Non Billable,Lead Associate,Hybrid Delivery,"McLean, VA",Virginia,United States of America,"McLean, VA",,,Full time,4/7/25,Regular,Infrastructure Configuration Specialist,Internal Professional,"The Opportunity:
Are you passionate about helping businesses adopt new technologies while improving their compliance in highly regulated environments? If so, come join our Business Systems team as an IT Audit Specialist and play a crucial role in maintaining the integrity and evolution of our products. In this role, you will partner with our product teams, customers, and auditors to ensure our compliance with all applicable requirements, proactively manage risk, and evolve our audit program to meet the demands of our business and our regulators. Due to the nature of work performed within this facility, U.S. citizenship is required.

What You'll Work On:

Serve as a quality control check for Business Systems audit and oversee, assess, and document the product teams’ execution of processes, procedures, and creation of artifacts required by various IT-related audit controls.

Provide detailed reports on compliance status and posture across all business systems to team and company leadership.

Identify pain points and deficiencies, and develop practical, compliant solutions and suggest new controls, processes, procedures, and artifacts to enhance compliance, effectiveness, and efficiency.

Stay informed about changing requirements and trends in the IT audit industry and with major regulators and propose changes to our audit processes and procedures accordingly.

Serve as a key liaison to Booz Allen's Internal Audit team, SOX audit team, Government Accounting Compliance team, and various external auditors.


Join us. The world can’t wait.

You Have:

7+ years of experience with IT auditing for corporate business applications at publicly traded companies

5+ years of experience designing, implementing, and monitoring IT General Controls (ITGCs) to ensure compliance with Sarbanes-Oxley (SOX) requirements, including IT security, access management, change management, and IT operations

3+ years of experience assessing IT implementations against audit requirements for government and defense contractors, including compliance with Defense Contract Audit Agency (DCAA) and Defense Contract Management Agency (DCMA) standards and regulations

Experience with audit tools and technologies that enhance automation

Experience using key risk and audit frameworks like COBIT, ISO or IEC 27001 or 27002, or NIST

Bachelor's degree in Information Technology or Accounting


Nice If You Have:

Experience in a liaison role with internal and external audit teams

Experience developing and supporting corporate business applications as a product or functional team member

Audit Certification such as Certified Information Systems Auditor (CISA), IT Audit Fundamentals Certificate, or Certified Internal Auditor (CIA) Certification","Applications Delivery

Configuration Management (CM)

Hardware Infrastructure

IT Policies

IT Procedures

IT Standards

Leadership

Long Term Planning

Mainframe Operating System

Organizational Leadership

Organizing

Performance Measurement

Performance Tuning

Server Software

Software Infrastructure

Software Installations

Software Quality Assurance (SQA)

Software Support

Tactical Planning",Not Billable
